Order_No,sales_rep,customer,RangeDescription,StyleCode,ShortDescription,Design_Name,Colourway,Quantity,Qty_Dispatched,Qty_Balance,Destination,Date_Ordered,Date_Sent_Offshore,Date_Required,Date_Scheduled_Offshore,Date_Received,Date_Cut_Work,Workflow_Status,Admin_Status,Red_Flag,Latest_Note,Latest_Note_Date
DLES7772,Daniel Ennis,LOI PP Samples,Soar,054,Mesh Lined F/Zip Jacket,Galway Utd Soar Walkout Jacket 2027 208183-03 - PPS,Pantone 447C/Pantone 2407C/Pantone 418C,2,0,2,,2026-06-25,2026-07-02,2026-07-20,Delivery Date TBA,,2026-07-01,4 - In Production,,Order required in less than 7 days but not yet despatched,"PRODUCER ON VACATION
",2026-07-16
DLES7773,Daniel Ennis,LOI PP Samples,Soar,054,Mesh Lined F/Zip Jacket,Galway Utd Soar Walkout Jacket 2027 208183-04 - PPS,Pantone 447C/Pantone 195C,2,0,2,,2026-06-25,2026-07-02,2026-07-20,Delivery Date TBA,,2026-07-01,4 - In Production,,Order required in less than 7 days but not yet despatched,"PRODUCER ON VACATION
",2026-07-16
DLES7776,Daniel Ennis,Shelbourne FC Mens Senior Team,Printed,253,Soccer Shorts,Shelbourne FC 3rd Goalkeeper Shorts 2026 198526-34,Multi,1,0,1,,2026-06-29,2026-06-29,2026-07-28,Delivery Date TBA,,2026-07-02,4 - In Production,,Order required in less than 7 days but not yet despatched,"PRODUCER ON VACATION
",2026-07-16
DLES7778,Daniel Ennis,Bohemians FC Shop Account,Printed,106,Soccer Jersey,Bohs Thin Lizzy Jersey,Stone/Purple/Black/Red,35,0,35,,2026-06-30,2026-06-30,2026-07-28,Delivery Date TBA,,2026-07-02,4 - In Production,,Order required in less than 7 days but not yet despatched,"PRODUCER ON VACATION
",2026-07-16
DLES7816,Daniel Ennis,Shelbourne FC Mens Senior Team,Printed,253,Soccer Shorts,Shelbourne FC - Senior Men Away Shorts 2026,Multi,2,0,2,,2026-07-21,2026-07-22,2026-08-17,Delivery Date TBA,,,2 - Sent Offshore,,,,
DLES7817,Daniel Ennis,Shelbourne FC Mens Senior Team,Printed,253,Soccer Shorts,Shelbourne FC 3rd Players Shorts 2026 198526-30,Multi,2,0,2,,2026-07-21,2026-07-22,2026-08-17,Delivery Date TBA,,,2 - Sent Offshore,,,,
DLES7723,Daniel Ennis,Shelbourne FC Mens Senior Team,Vintage,030,Squad Half Zip Top,Shelbourne FC Vintage Players Training Halfzip 2027 208147-8,L.Grey/Rasp/Mne,140,0,140,,2026-06-18,2026-06-24,2026-10-12,Delivery Date TBA,,2026-07-01,4 - In Production,,,"AWAITING CUTWORK
",2026-07-16
DLES7724,Daniel Ennis,Shelbourne FC Mens Senior Team,Vintage,060,K20 T-Shirt,Shelbourne FC Vintage Players T-Shirt 2027 208147-2,Silvermoon/Rasp/L.Grey,140,0,140,,2026-06-18,2026-06-24,2026-10-12,Delivery Date TBA,,,4 - In Production,,,"AWAITING CUTWORK
",2026-07-16
DLES7725,Daniel Ennis,Shelbourne FC Mens Senior Team,Nico,153,Brsh Skinny Pants,Shelbourne FC Nico Training Pants 2027 208147-14,Marine/Pantone 1815C,220,0,220,,2026-06-18,2026-06-19,2026-10-12,Delivery Date TBA,,,4 - In Production,,,"AWAITING CUTWORK
",2026-07-16
DLES7726,Daniel Ennis,Shelbourne FC Mens Senior Team,Galvas,049,Poly Training Shorts,Shelbourne FC Galvas Training Shorts 2027 208147-13,Marine/Pantone 1815C,220,0,220,,2026-06-18,2026-06-23,2026-10-12,2026-10-06,,,4 - In Production,,,,
